nom-entr;adr-entr;code-postal;ville;secteur;nom-resp;prenom-resp;email-resp
AFGSU;rue de l'hermite;33000;BORDEAUX;Industrie;d'Ameron;Jean;Jean@afgsu.com
AFMHA;place rohan;33400;TALENCE;DÈveloppement Web;Christian Andersen;Hans;Hans@afmha.com
AFNOR;place du general de gaulle;33608;PESSAC;Editeur de logiciel;d'Anfreville de la Salle;LÈon;Leon@afnor.com
AFPPE;place des basques;33100;BORDEAUX;SSII;d'Anjou;RenÈ;Rene@afppe.com
AFSEA;place de l'eglise;33650;LA BREDE;Industrie;Appier-Hanzelet;Jean;Jean@afsea.com
AFSSA;parc innolin;33326;EYSINES ;Administration;Balafrej;Taha;Taha@afssa.com
AFSSE;parc industriel;33370;ARTIGUES PRES BORDEAUX;DÈveloppement Web;Balde;Jean;Jean@afsse.com
AFTOC;parc d'activitÈ kennedy;33110;LE BOUSCAT;DÈveloppement Web;Ball;Hugo;Hugo@aftoc.com
AGEPS;parc activitÈs mermoz;33210;LANGON;SSII;BanÈat;Paul;Paul@ageps.com
AGGIR;parc activite kennedy;33000;BORDEAUX;Industrie;Banim;John;John@aggir.com
AGIRC;p.a grand angouleme,;33100;BORDEAUX;SSII;Barbe;Paul;Paul@agirc.com
AIDCO;maison du dÈveloppement;33074;BORDEAUX ;DÈveloppement Web;Barbier d'Aucour;Jean;Jean@aidco.com
AIDEA;maison des associations;33290;LUDON MEDOC;Editeur de logiciel;Barracand;LÈon;Leon@aidea.com
AIVOC;les cinq chemins;33600;PESSAC;DÈveloppement Web;Hyppolite Basse;Jean;Jean@aivoc.com
ALOIS;les bureaux du lac ii;33700;MERIGNAC;SSII;Basset;RenÈ;Rene@alois.com
ALRIV;le roujalet;33310;LORMONT;Editeur de logiciel;Battu;LÈon;Leon@alriv.com
AMDEC;le grand angle -  avenue pÈriÈ;33300;BORDEAUX;DÈveloppement Web;Baudoin;Jean;Jean@amdec.com
AMELI;le capitole;33600;PESSAC;Editeur de logiciel;Bazalgette;LÈon;Leon@ameli.com
AMESU;ifv bordeaux aquitaine;87069;LIMOGES ;SSII;Bazan;NoÎl;Noel@amesu.com
AMEXA;hotel du departement;63200;RIOM;SSII;Bazin;RenÈ;Rene@amexa.com
AMGVF;hopital xavier arnozan;33700;MERIGNAC;SSII;Cadiou;Paul;Paul@amgvf.com
AMSUD;etablissement de bayonne;75010;PARIS;SSII;CailliÈ;RenÈ;Rene@amsud.com
AMUHF;ester technopole;33600;PESSAC;DÈveloppement Web;Caine;Hall;Hall@amuhf.com
AMVBF;esplanade des arts et mÈtiers;33000;BORDEAUX;SSII;de Callias;Nina;Nina@amvbf.com
ANACT;esplanade charles de gaulle;33500;LIBOURNE;DÈveloppement Web;Calmon-Maison;Jean;Jean@anact.com
ANAEM;espace entreprise b‰t. d;33520;BRUGES;DÈveloppement Web;Calvet;Jean;Jean@anaem.com
ANAES;domaine de pelus plaza;17200;ROYAN;DÈveloppement Web;Calvin;Jean;Jean@anaes.com
ANCIC;domaine de la grande ferrade;33024;BORDEAUX ;Constructeur;de Camıes;Luis;Luis@ancic.com
ANDAC;domaine de ch‚teau margaux;33000;BORDEAUX;DÈveloppement Web;Canora;Jean;Jean@andac.com
ANDAR;direction fraude et revenus;33000;BORDEAUX;Administration;Carnot;Sadi;Sadi@andar.com
ANDEM;cpii/doso;16800;SOYAUX;Divers;Cartan;…lie;elie@andem.com
ANDRA;centre condorcet;33127;ST JEAN D ILLAC;SSII;Richard Louis Castel;RenÈ;Rene@andra.com
ANEMF;capitaine;31036;TOULOUSE ;DÈveloppement Web;Henri CastÈra;Jean;Jean@anemf.com
ANESM;bp 10416;33706;MERIGNAC ;SSII;Castiaux;Paul;Paul@anesm.com
ANLCI;bordeaux technowest;33000;BORDEAUX;Divers;Castilhon;…lie;elie@anlci.com
ANLLF;bd sol aqt - pak3;47300;VILLENEUVE SUR LOT;Jeux video;Claude de Caylus;Anne;Anne@anllf.com
ANPAA;bat. andromËde;13108;ST PAUL LES DURANCE ;SSII;CÈzanne;Paul;Paul@anpaa.com
ANPDE;avenue jean monnet;33116;LE BARP ;SSII;Challemel-Lacour;Paul;Paul@anpde.com
ANSES;avenue gay  lussac;33049;BORDEAUX ;SSII;Chalupt;RenÈ;Rene@anses.com
ANVAR;avenue des mondaults;33700;MERIGNAC;Divers;Abbott Abbott;Edwin;Edwin@anvar.com
APAJH;97,avenue de techeney;33042;BORDEAUX ;Association;Abelly;Louis;Louis@apajh.com
APASE;91 quai du prÈsident wilson;33460;MARGAUX;Editeur de logiciel;Junot d'AbrantËs;Laure;Laure@apase.com
APAVE;9, rue charles fourier;33523;BRUGES ;Association;Achard;Lucie;Lucie@apave.com
AP-HM;9 rue andrÈÈdarbon;33000;BORDEAUX;Association;Agassiz;Louis;Louis@ap-hm.com
AP-HP;9 rue andrÈ darbon;75116;PARIS;Association;des Ages;Lucie;Lucie@ap-hp.com
APPRI;9 rue andrÈ darbon;33402;TALENCE ;Divers;Agnel;…mile;emile@appri.com
APRES;9 avenue de la madeleine;94532;THIAIS ;Services;de Navarre-Champagne;AgnËs;Agnes@apres.com
APSAD;87, avenue du prÈsident kennedy;33150;CENON;Banque;Agostini;Jules;Jules@apsad.com
APSEM;85 rue de suzon;47213;MARMANDE ;SSII;d'Agoult;Marie;Marie@apsem.com
ARACT;85 avenue kennedy;33025;BORDEAUX ;DÈveloppement Web;Corneille Agrippa;Henri;Henri@aract.com
ARAPI;80 route d'arcachon;24000;PERIGUEUX;Services;d'Iffremont;Aigue;Aigue@arapi.com
ARFIE;8 rue thiers;33074;BORDEAUX ;DÈveloppement Web;Albert;Henri;Henri@arfie.com
ARHIF;8 chemin lescan;47922;AGEN ;Services;de MytilËne;AlcÈe;Alcee@arhif.com
ARLIN;8 av neil armstrong;33077;BORDEAUX ;Banque;Allard;Jules;Jules@arlin.com
ARRCO;74 rue georges bonnac;33000;BORDEAUX;Administration;Allard;Roger;Roger@arrco.com
ARRES;7 rue roger johan;31200;TOULOUSE;DÈveloppement Web;Allorge;Henri;Henri@arres.com
ASEES;7 rue pierre  mendes france;33700;MERIGNAC;Association;Alloury;Louis;Louis@asees.com
ASEPT;7 rue ferdinand fabre;33070;BORDEAUX ;DÈveloppement Web;d'AlmÈras;Henri;Henri@asept.com
ASMAD;7 quai de brienne;75017;PARIS;SSII;Altenberg;Peter;Peter@asmad.com
ASPCC;68 av de la conche;33000;BORDEAUX;Divers;AmÈlineau;…mile;emile@aspcc.com
ASSAD;66-72 rue marceau;92000;NANTERRE;Jeux video;Amiel;Denys;Denys@assad.com
AT-MP;66,rue des archives;33701;MERIGNAC ;DÈveloppement Web;Anderson;James;James@at-mp.com
ATTAC;65 rue edouard vaillant;33170;GRADIGNAN;Jeux video;de Coutances;AndrÈ;Andre@attac.com
AVIAM;6/8 rue des trois conils;33610;CANEJAN;DÈveloppement Web;Bruyn Andrews;James;James@aviam.com
BAPSA;6, avenue maurice lÈvy;33290;LUDON MEDOC;Association;Andrieux;Louis;Louis@bapsa.com
INCA;6 rue renÈ martrenchar;33000;BORDEAUX;Association;Aragon;Louis;Louis@inca.com
INCO;6 rue des comètes;33164;LA TESTE ;Association;Petit de Bachaumont;Louis;Louis@inco.com
INED;6 rue d'enghien;33070;BORDEAUX ;DÈveloppement Web;Bachelin;Henri;Henri@ined.com
INEP;6 avenue de cajus;33000;BORDEAUX;Services;von Baeyer;Adolf;Adolf@inep.com
INES;6 avenue de cajus;33700;MERIGNAC;Jeux video;Baillon;AndrÈ;Andre@ines.com
INJA;54 rue st sernin;33900;BORDEAUX;Banque;Banchet;Jules;Jules@inja.com
INJS;54 avenue marcel dassault;33165;ST MEDARD EN JALLES ;Association;Baraduc;Louis;Louis@injs.com
INPH;54 avenue hubert duredout;31007;TOULOUSE;Banque;Barbey d'Aurevilly;Jules;Jules@inph.com
INRA;52 rue georges bonnac;;GRADIGNAN ;Banque;Barbier;Jules;Jules@inra.com
INRS;52 rue georges bonnac;91300;MASSY;DÈveloppement Web;Barbusse;Henri;Henri@inrs.com
INTI;52 rue georges bonnac;33100;BORDEAUX;DÈveloppement Web;Barckhausen;Henri;Henri@inti.com
InVS;52 rue georges bonnac;24100;BERGERAC;Services;Barde;AndrÈ;Andre@invs.com
IOTF;52 rue de rivoli;33150;CENON;Banque;Barni;Jules;Jules@iotf.com
IPAQ;51, chemin de labarde;33300;BORDEAUX;Services;Barre;AndrÈ;Andre@ipaq.com
IPES;51 rue saint françois;33000;BORDEAUX;DÈveloppement Web;Barrie;James;James@ipes.com
IPr;52 quai richelieu;47300;VILLENEUVE SUR LOT;Divers;Barrault;…mile;emile@ipr.com
IPSN;51 chemin de labarde;33292;BLANQUEFORT ;DÈveloppement Web;Barth;Henri;Henri@ipsn.com
IRCT;50 rue du chapelet;33300;BORDEAUX;Banque;BarthÈlemy-Saint-Hilaire;Jules;Jules@irct.com
IrDA;50 avenue de verdun;33700;MERIGNAC;Association;Barthou;Louis;Louis@irda.com
IRDQ;5, bd des bouvets;33000;BORDEAUX;DÈveloppement Web;Bascoul;Henri;Henri@irdq.com
IRES;48 rue de la boÈtie 75008 paris;33320;EYSINES;Jeux video;Matsuo;Basho;Basho@ires.com
IRMN;47 rue de chaillot;33000;BORDEAUX;Industrie;Bastide;Jenny;Jenny@irmn.com
IRSN;47 allÈe des palanques;33600;PESSAC;Association;Bastide;Louis;Louis@irsn.com
IRTS;46 rue faubourg saint martin;33609;PESSAC ;DÈveloppement Web;Bataille;Henry;Henry@irts.com
IRTT;45 ter avenue de verdun;33520;BRUGES;Association;Batiffol;Louis;Louis@irtt.com
ISBN;43 place gambetta;33150;CENON;Association;Baude;Louis;Louis@isbn.com
ISDN;40 avenue maryse bastie;33650;MARTILLAC;Banque;Baudot;Jules;Jules@isdn.com
ISES;4 voie romaine batiment g;33700;MERIGNAC;DÈveloppement Web;Baudrillart;Henri;Henri@ises.com
ISSN;4 voie romaine - canÈjean;33700;MERIGNAC;DÈveloppement Web;Bauer;Henry;Henry@issn.com
ITAF;4 rue poquelin moliere;33170;GRADIGNAN;Constructeur;Frank Baum;Lyman;Lyman@itaf.com
ITEP;4 rue de corn;75008;PARIS;SSII;Baumgartner;Marie;Marie@itep.com
IUFM;38 rue franÁois arago;33520;BRUGES;Association;Baunard;Louis;Louis@iufm.com
JORF;38 rue françois arago;33000;BORDEAUX;Divers;Bayard;…mile;emile@jorf.com
LABM;38 quai de brazza;33000;BORDEAUX;Association;Bazin;Louis;Louis@labm.com
LATA;375 avenue de tivoli;24000;PERIGUEUX;DÈveloppement Web;Beauclair;Henri;Henri@lata.com
LEAD;351 cours de la libÈration;33015;BORDEAUX ;Divers;Cabanon;…mile;emile@lead.com
LEEM;35 rue de ruat;33073;BORDEAUX ;Jeux video;Cafiero;Carlo;Carlo@leem.com
LEST;347 avenue thiers;33000;BORDEAUX;Association;de Cahusac;Louis;Louis@lest.com
LFSS;32, avenue leonard de vinci;64200;BIARRITZ;SSII;Calderon de la Barca;Pedro;Pedro@lfss.com
LHSS;32, avenue de canteranne;33610;CANEJAN;Banque;Cambon;Jules;Jules@lhss.com
LIEN;32 rue michel ange;33530;BASSENS;Divers;Cammaerts;…mile;emile@lien.com
LISP;316, route de bayonne;33200;BORDEAUX;Banque;Camus;Jules;Jules@lisp.com
LNCC;31 impasse lacapelle;33780;SOULAC SUR MER;Banque;Candeille;Julie;Julie@lncc.com
LOLF;30-34 avenue lÈonard de vinci;33150;CENON;DÈveloppement Web;Cantel;Henri;Henri@lolf.com
LOOM;303 avenue mont de marsan;33525;BRUGES ;DÈveloppement Web;Cantor;Georg;Georg@loom.com
LPPS;30 rue des cieutats;33270;FLOIRAC;DÈveloppement Web;Carey;Henry;Henry@lpps.com
LPSP;30 rue de la rÈpublique;33700;MERIGNAC;DÈveloppement Web;Le Nepvou de Carfort;Henry;Henry@lpsp.com
MAAP;30 rue de la rÈpublique;95946;ROISSY CH DE GAULLE ;DÈveloppement Web;Carnoy;Henry;Henry@maap.com
MAEC;30 rue bouquière;24800;EYZERAC;Association;de CarnÈ;Louis;Louis@maec.com
MAIA;3, rue toussaint catros;33700;MERIGNAC;Banque;Carrara;Jules;Jules@maia.com
MAMA;3, rue lafayette;33800;BORDEAUX;DÈveloppement Web;CarrÈ;Henri;Henri@mama.com
MDPH;3, rue gaspard monge;33400;TALENCE;Editeur de logiciel;Carroll;Lewis;Lewis@mdph.com
MEAH;3, cours georges clemenceau;33883;VILLENAVE D ORNON ;SSII;CarrËre;Nelly;Nelly@meah.com
MECS;3 rue prÈ meunier;33400;TALENCE;SSII;Casals;Pablo;Pablo@mecs.com
MEDD;3 rue du bourg;33080;BORDEAUX ;Industrie;Case;Jules;Jules@medd.com
MESR;3 rue de condÈ;33290;BLANQUEFORT;Industrie;Castier;Jules;Jules@mesr.com
MFPF;3 rue ariane;33612;CESTAS ;DÈveloppement Web;de Castries;Henry;Henry@mfpf.com
MGEN;3 allÈe du vercors;33405;TALENCE ;Industrie;Caterus;Johan;Johan@mgen.com
MIAM;3 allÈe de la crabette;33708;MERIGNAC ;Jeux video;l'Ancien;Caton;Caton@miam.com
MICA;29 rue de l'ecole normale;33076;BORDEAUX ;DÈveloppement Web;Cazalis;Henri;Henri@mica.com
MICI;28 rue jean perrin;33000;BORDEAUX;Editeur de logiciel;Cazamian;Louis;Louis@mici.com
MICO;28 chemin de lubet;33520;BRUGES;Divers;Cazelles;…mile;emile@mico.com
MILC;276 cours de l'argonne;33166;ST MEDARD EN JALLES ;DÈveloppement Web;CÈard;Henry;Henry@milc.com
MIRE;27-29 rue carnot;33310;LORMONT;Industrie;CÈsar;Jules;Jules@mire.com
MISP;27 rue alessandro volta;92800;PUTEAUX;DÈveloppement Web;Chabanne;Henri;Henri@misp.com
MISS;27 avenue leonard de vinci;33690;MASSEILLES;Editeur de logiciel;Chadourne;Louis;Louis@miss.com
MMSE;27 avenue de la poterie;33176;GRADIGNAN ;DÈveloppement Web;Chambon;FÈlix;Felix@mmse.com
MOUS;26 rue diderot;33506;LIBOURNE ;Services;de Chambrier;Alice;Alice@mous.com
MPEG;26 allÈe des hauts de grazailles;33900;BORDEAUX;SSII;van der Aa;Pieter;Pieter@mpeg.com
MSAP;253, cours du marÈchal galliÈni;33900;BORDEAUX;SSII;Abadie;Michel;Michel@msap.com
MSCM;25,rue tremeuge;33900;BORDEAUX;DÈveloppement Web;Abauzit;Firmin;Firmin@mscm.com
MSIN;25, chemin de lubet;12120;ARVIEU;Jeux video;d'Abbadie;Arnaud;Arnaud@msin.com
MSPS;25, avenue gustave eiffel;33696;MERIGNAC ;SSII;AbÈlard;Pierre;Pierre@msps.com
MSTP;25 rue marcel issartier;75449;PARIS;Divers;About;Edmond;Edmond@mstp.com
MT2A;25 rue marcel issartier;24000;PERIGUEUX;Divers;Abramowski;Edward;Edward@mt2a.com
NABM;25 rue mably;33611;CESTAS ;Services;Achard;AmÈdÈe;Amedee@nabm.com
NCAM;24 avenue de verdun;40000;MONT DE MARSAN;Services;de Chabannes;AdÈmar;Ademar@ncam.com
NEAD;24 avenue de verdun;33000;BORDEAUX;Services;le Roi;Adenet;
NECy;23,  rue louis mie;33000;BORDEAUX;Administration;d'AdhÈmar;Robert;Robert@necy.com
NGAP;23 rue thomas edison;47240;BON ENCONTRE;Services;Adler;Alfred;Alfred@ngap.com
NICE;23 rue thomas edison;33120;ARCACHON;Services;AdËs;Albert;Albert@nice.com
NIPP;23 rue ferrère;33185;LE HAILLAN;Industrie;Aho;Juhani;Juhani@nipp.com
NPAD;23 route de saint-louis;33185;LE HAILLAN;SSII;de Laudun d'Aigaliers;Pierre;Pierre@npad.com
NRBC;23 parvis des chartrons;;MERIGNAC;Services;le Grand;Albert;Albert@nrbc.com
NTIC;22 rue sainte luce;33000;BORDEAUX;Services;d'Aix;Albert;Albert@ntic.com
NVPO;2-12 chemin des femmes;64600;ANGLET;SSII;Albert-Birot;Pierre;Pierre@nvpo.com
OCAH;21,rue gratiolet;33612;CESTAS ;Jeux video;Albert-Petit;Armand;Armand@ocah.com
OCDE;21, avenue de la poterie;33310;LORMONT;Association;May Alcott;Louisa;Louisa@ocde.com
OCHS;21 avenue eugène et marc dulout;65150;ST LAURENT DE NESTE;Administration;Alecsandri;Vasile;Vasile@ochs.com
OCTA;20, rue elisÈe reclus;33650;MARTILLAC;DÈveloppement Web;Alengry;Franck;Franck@octa.com
ODAC;20 rue ernest guillier;92055;PARIS LA DEFENSE ;Jeux video;Alexandre;ArsËne;Arsene@odac.com
ODAM;2, rue eugène chevreul;33150;CENON;Jeux video;d'Allonville;Armand;Armand@odam.com
ODAS;2, pont de garonne;33049;BORDEAUX ;Divers;Alonnier;Edmond;Edmond@odas.com
OETH;2 rue serge mallet;33700;MERIGNAC;Services;Altaroche;AgÈnor;Agenor@oeth.com
OFCE;2 rue paul louis courrier;33450;ST LOUBES;Divers;d'Alton-ShÈe;Edmond;Edmond@ofce.com
OFDT;2 rue paul camelle;33450;ST LOUBES;Industrie;Alzog;Johann;Johann@ofdt.com
OMCL;2 rue etienne chevreul;33700;MERIGNAC;Jeux video;Amidei;Cosimo;Cosimo@omcl.com
OMIT;2 rue du commandant cousteau;33610;CESTAS;Services;Marcellin;Ammien;Ammien@omit.com
ONCD;2 rue claude boucher;33600;PESSAC;Editeur de logiciel;Andrac;KlÈber;Kleber@oncd.com
ONED;2 place de la bourse;33160;ST MEDARD EN JALLES;SSII;AndrÈ;Marius;Marius@oned.com
ONRS;2 brocas;33600;PESSAC;Industrie;Andreae;Johann;Johann@onrs.com
OPAC;2 boulevard de la plage;33000;BORDEAUX;Editeur de logiciel;AndreÔev;Leonid;Leonid@opac.com
OPAH;2 bd de la plage;44244;LA CHAPELLE S ERDRE ;Industrie;Anglade;Joseph;Joseph@opah.com
OPCA;2 avenue de la sauque;33290;BLANQUEFORT;SSII;d'Anglas de Praviel;Paulin;Paulin@opca.com
OPCT;2 allÈe isaac newton;94110;ARCUEIL;Administration;Angot de L'…peronniËre;Robert;Robert@opct.com
OPRI;19 rue denis;34090;MONTPELLIER;Services;Angot;Albert;Albert@opri.com
OQAI;19 allee james watt - tour d;33170;GRADIGNAN;DÈveloppement Web;Anson;George;George@oqai.com
OQOS;187 avenue du haut lÈvÍque;33604;PESSAC ;Services;Apoukhtine;AlexeÔ;AlexeÔ@oqos.com
ORIG;185 cours du mÈdoc bp- 143;33323;BEGLES ;Divers;Babelon;Ernest;Ernest@orig.com
ORPI;18-30 rue e.herriot;33370;ARTIGUES PRES BORDEAUX;Industrie;Bach;Johann;Johann@orpi.com
OSCE;18 rue de londres;33702;MERIGNAC ;Administration;Baden-Powell;Robert;Robert@osce.com
OTAN;18 rue claude boucher;33150;CENON;Administration;Badinter;Robert;Robert@otan.com
PACA;18 av. pythagore;33167;ST MEDARD EN JALLES ;Administration;Bage;Robert;Robert@paca.com
PACT;17,  rue de rivière;33600;PESSAC;Industrie;Baillard;Joseph;Joseph@pact.com
PAIO;17 rue de rivière;33610;CESTAS;Services;Baillet;Adrien;Adrien@paio.com
PAIR;17 rue de rivière;33693;MERIGNAC ;Services;Bailleux de Marisy;Alexis;Alexis@pair.com
PAJE;17 place de la halle;64105;BAYONNE ;Constructeur;Baillot;Marcel;Marcel@paje.com
PAPA;17 avenue des mondaults;33270;FLOIRAC;Administration;White Baker;Samuel;Samuel@papa.com
PARE;16 rue de sebastopol;33700;MERIGNAC;SSII;Bakounine;Michel;Michel@pare.com
PARM;16 rue de l'hermine - eparc b104;33400;TALENCE;Services;Balbi;Adrien;Adrien@parm.com
PASA;16 avenue de ty douar;33600;PESSAC;DÈveloppement Web;de Balzac;HonorÈ;Honore@pasa.com
PASS;15 rue de l'housteauneuf;75003;PARIS;DÈveloppement Web;Bang;Herman;Herman@pass.com
PAVM;15 boulevard louis blanc;47000;AGEN;Jeux video;de Barante;Claude;Claude@pavm.com
PCAD;15 bis allÈe james watt;33520;BRUGES;Services;Baratier;Albert;Albert@pcad.com
PCAP;15 avenue du dr grynfogel;64210;BIDART;SSII;Baratieri;Oreste;Oreste@pcap.com
PCEM;15 avenue des sabliËres;24100;BERGERAC;Jeux video;Barbier;Edmond;Edmond@pcem.com
PCRD;143,  rue emile combes;33000;BORDEAUX;Services;Bardoux;AgÈnor;Agenor@pcrd.com
PCTL;142 bis cours du mÈdoc;33520;BRUGES;DÈveloppement Web;Baret;EugËne;Eugene@pctl.com
PDSA;14, avenue de l'argonne;33187;LE HAILLAN ;Jeux video;Barine;ArvËde;Arvede@pdsa.com
PDSH;14,  rue francois de sourdis;33600;;SSII;de Barneville;Pierre;Pierre@pdsh.com
PECO;14 rue boudet;33697;MERIGNAC ;SSII;Barral;Pierre;Pierre@peco.com
PEPA;136 avenue louis barthou;33600;PESSAC;Services;Barrault;Alexis;Alexis@pepa.com
PERE;133 rue pierre ramond;33152;CENON ;Services;BarrÈ;Albert;Albert@pere.com
PERP;122 rue croix de seguey;33700;MERIGNAC;SSII;Barrot;Odilon;Odilon@perp.com
PGFP;122 avenue saint emilion;97500;ST PIERRE ET MIQUELON;Administration;Barrucand;Victor;Victor@pgfp.com
PHPT;12,  rue condorcet;33600;PESSAC;Jeux video;Baschet;Armand;Armand@phpt.com
PHRC;12 rue roger solengro;50800;LA BLOUTIERE;Jeux video;de CÈsarÈe;Basile;Basile@phrc.com
PINI;12 impasse malouet;11000;CARCASSONNE;Services;de Bast;AmÈdÈe;Amedee@pini.com
PMCT;12 bis,  rue maubec;87068;LIMOGES ;Constructeur;Batilliat;Marcel;Marcel@pmct.com
PMSI;11,rue toricelli;29000;QUIMPER;Jeux video;Batut;Arthur;Arthur@pmsi.com
PNIR;11 cours de la somme;16470;ST MICHEL;Administration;Bauchery;Roland;Roland@pnir.com
PNNS;11 boulevard marsan de montbrun;33127;MARTIGNAS SUR JALLE;Constructeur;Baudens;Lucien;Lucien@pnns.com
PNSE;11 avenue de chavailles;47300;LEDAT;DÈveloppement Web;Baudoux;EugËne;Eugene@pnse.com
PNSM;106-108 avenue du president j.f kennedy;33600;PESSAC;Services;de Baudus;Amable;Amable@pnsm.com
PNUD;105 rue voltaire;33187;LE HAILLAN ;Services;Baur;Albert;Albert@pnud.com
POSU;105 rue du faubourg du temple;33608;PESSAC ;SSII;Bayle;Pierre;Pierre@posu.com
PPPI;102 rue de la poterie;33100;BORDEAUX;DÈveloppement Web;Bazin;EugËne;Eugene@pppi.com
PPSM;100 cour marechal jouin;93100;MONTREUIL;Services;de Beauchesne;Alcide;Alcide@ppsm.com
PRAM;10, rue antoine de saint exupÈry;47000;AGEN;SSII;Cabantous;Marius;Marius@pram.com
PREF;10 rue rene cassin;33700;MERIGNAC;Industrie;Cabaret-Dupaty;Joseph;Joseph@pref.com
PRES;10 rue esprit des lois;33405;TALENCE ;DÈveloppement Web;Washington Cable;George;George@pres.com
PRPA;10 allÈes de tourny;33000;BORDEAUX;Administration;Cabrol;Urbain;Urbain@prpa.com
PRQA;1, rue poquelin molière;33271;FLOIRAC ;DÈveloppement Web;Cadoux;Gaston;Gaston@prqa.com
PRSE;1, rue jacques ellul;33130;BEGLES;Administration;Cahen;Samuel;Samuel@prse.com
PRSP;1 rue jasmin;33708;MERIGNAC ;Administration;de Caix de Saint Aymour;Robert;Robert@prsp.com
PRST;1 rue des Èglantines;33600;PESSAC;Industrie;Cajot;Joseph;Joseph@prst.com
PSCE;1 rue columbia;33120;ARCACHON;SSII;Calmettes;Pierre;Pierre@psce.com
PSDP;1 cours du gÈneral de gaulle;75010;PARIS;SSII;Camo;Pierre;Pierre@psdp.com
PSPH;1 cours du 30 juillet;33000;BORDEAUX;Industrie;Campan;Jeanne;Jeanne@psph.com
PSRS;1 bd de candau;33000;BORDEAUX;Administration;Campbell;Thomas;Thomas@psrs.com
PSUR;06, renÈ martrenchar;33150;CENON;SSII;Campion;Robert;Robert@psur.com
