nom-etd;prenom-etd;email-etd
Amelin;Joseph-Eugene;joseph-eugene.amelin@u-bordeaux.fr
Amelot de la Houssaye;Nicolas;nicolas.amelot-de-la-houssaye@u-bordeaux.fr
Amiel;Henri-Frederic;henri-frederic.amiel@u-bordeaux.fr
Amiot;Joseph-Marie;joseph-marie.amiot@u-bordeaux.fr
Amoreau;Maurice;maurice.amoreau@u-bordeaux.fr
Ampere;Andre-Marie;andre-marie.ampere@u-bordeaux.fr
Ampere;Jean-Jacques;jean-jacques.ampere@u-bordeaux.fr
Amyot;Jacques;jacques.amyot@u-bordeaux.fr
Ancelot;Jacques-François;jacques-françois.ancelot@u-bordeaux.fr
Ancelot;Virginie;virginie.ancelot@u-bordeaux.fr
Ancey;Georges;georges.ancey@u-bordeaux.fr
Anderson;Sherwood;sherwood.anderson@u-bordeaux.fr
Andler;Charles;charles.andler@u-bordeaux.fr
Andre;Auguste;auguste.andre@u-bordeaux.fr
Andrieux;François;françois.andrieux@u-bordeaux.fr
Aneau;Barthelemy;barthelemy.aneau@u-bordeaux.fr
Angellier;Auguste;auguste.angellier@u-bordeaux.fr
Angers;François-Real;françois-real.angers@u-bordeaux.fr
Angers;Philippe;philippe.angers@u-bordeaux.fr
Anicet-Bourgeois;Auguste;auguste.anicet-bourgeois@u-bordeaux.fr
Anot de Maizieres;Cyprien;cyprien.anot-de-maizieres@u-bordeaux.fr
Anquetil-Duperron;Abraham;abraham.anquetil-duperron@u-bordeaux.fr
Antignac;Antoine;antoine.antignac@u-bordeaux.fr
Anwar;Chairil;chairil.anwar@u-bordeaux.fr
Apollinaire;Guillaume;guillaume.apollinaire@u-bordeaux.fr
Appia;Adolphe;adolphe.appia@u-bordeaux.fr
Apponyi;Marguerite;marguerite.apponyi@u-bordeaux.fr
Apponyi;Rodolphe;rodolphe.apponyi@u-bordeaux.fr
Appuhn;Charles;charles.appuhn@u-bordeaux.fr
Arago;Emmanuel;emmanuel.arago@u-bordeaux.fr
Arago;etienne;etienne.arago@u-bordeaux.fr
Arago;François;françois.arago@u-bordeaux.fr
Arago;Jacques;jacques.arago@u-bordeaux.fr
Babeuf;Gracchus;gracchus.babeuf@u-bordeaux.fr
Babinet;Jacques;jacques.babinet@u-bordeaux.fr
Babois;Victoire;victoire.babois@u-bordeaux.fr
Babou;Hippolyte;hippolyte.babou@u-bordeaux.fr
Bac;Ferdinand;ferdinand.bac@u-bordeaux.fr
Bacha;Constantin;constantin.bacha@u-bordeaux.fr
Bachelet;Theodore;theodore.bachelet@u-bordeaux.fr
Bacon;Francis;francis.bacon@u-bordeaux.fr
Badin;Adolphe;adolphe.badin@u-bordeaux.fr
Bagreef-Speranski;Elisabeth;elisabeth.bagreef-speranski@u-bordeaux.fr
Baguenault de Puchesse;Gustave;gustave.baguenault-de-puchesse@u-bordeaux.fr
Baigneres;Jean-Baptiste;jean-baptiste.baigneres@u-bordeaux.fr
Bailly;Anatole;anatole.bailly@u-bordeaux.fr
Bailly;Antoine;antoine.bailly@u-bordeaux.fr
Bailly;Sylvain;sylvain.bailly@u-bordeaux.fr
Bainville;Jacques;jacques.bainville@u-bordeaux.fr
Baissac;Charles;charles.baissac@u-bordeaux.fr
Baju;Anatole;anatole.baju@u-bordeaux.fr
Baker;Catherine;catherine.baker@u-bordeaux.fr
Balabanova;Angelica;angelica.balabanova@u-bordeaux.fr
Baldensperger;Fernand;fernand.baldensperger@u-bordeaux.fr
Ballanche;Pierre-Simon;pierre-simon.ballanche@u-bordeaux.fr
Bally;Charles;charles.bally@u-bordeaux.fr
Balmont;Constantin;constantin.balmont@u-bordeaux.fr
Banier;Antoine;antoine.banier@u-bordeaux.fr
Bapst;Germain;germain.bapst@u-bordeaux.fr
Barat;Emmanuel;emmanuel.barat@u-bordeaux.fr
Barbara;Charles;charles.barbara@u-bordeaux.fr
Barbeu du Bourg;Jacques;jacques.barbeu-du-bourg@u-bordeaux.fr
Barbier;Antoine-Alexandre;antoine-alexandre.barbier@u-bordeaux.fr
Barbier;Auguste;auguste.barbier@u-bordeaux.fr
Barbier;Edmond-Jean-François;edmond-jean-françois.barbier@u-bordeaux.fr
Barbier;Hippolyte;hippolyte.barbier@u-bordeaux.fr
Barbier;Louis-Nicolas;louis-nicolas.barbier@u-bordeaux.fr
Barbon;Nicolas;nicolas.barbon@u-bordeaux.fr
Barchou de Penhoen;Auguste;auguste.barchou-de-penhoen@u-bordeaux.fr
Bardoux;Jacques;jacques.bardoux@u-bordeaux.fr
Barere de Vieuzac;Bertrand;bertrand.barere-de-vieuzac@u-bordeaux.fr
Barginet;Alexandre;alexandre.barginet@u-bordeaux.fr
Barman;Maurice;maurice.barman@u-bordeaux.fr
Barnave;Antoine;antoine.barnave@u-bordeaux.fr
Barnfield;Richard;richard.barnfield@u-bordeaux.fr
Barral;Georges;georges.barral@u-bordeaux.fr
Barres;Maurice;maurice.barres@u-bordeaux.fr
Barrett Browning;Elizabeth;elizabeth.barrett-browning@u-bordeaux.fr
Barriere;Theodore;theodore.barriere@u-bordeaux.fr
Barrillot;François;françois.barrillot@u-bordeaux.fr
Barrot;Adolphe;adolphe.barrot@u-bordeaux.fr
Barruel;Augustin;augustin.barruel@u-bordeaux.fr
Barth;Auguste;auguste.barth@u-bordeaux.fr
Barth;Heinrich;heinrich.barth@u-bordeaux.fr
Barthelemy;Auguste;auguste.barthelemy@u-bordeaux.fr
Barthelemy;Jean-Jacques;jean-jacques.barthelemy@u-bordeaux.fr
Barthez;Paul-Joseph;paul-joseph.barthez@u-bordeaux.fr
Barthez de Marmorieres;Guillaume;guillaume.barthez-de-marmorieres@u-bordeaux.fr
Barzellotti;Giacomo;giacomo.barzellotti@u-bordeaux.fr
Barzun;Henri-Martin;henri-martin.barzun@u-bordeaux.fr
Basile;Giambattista;giambattista.basile@u-bordeaux.fr
Basler;Adolphe;adolphe.basler@u-bordeaux.fr
Bastiat;Frederic;frederic.bastiat@u-bordeaux.fr
Bastide;Charles;charles.bastide@u-bordeaux.fr
Bastien;Jean-François;jean-françois.bastien@u-bordeaux.fr
Bataille;Frederic;frederic.bataille@u-bordeaux.fr
Batault;Georges;georges.batault@u-bordeaux.fr
Batteux;Charles;charles.batteux@u-bordeaux.fr
Baude;Jean-Jacques;jean-jacques.baude@u-bordeaux.fr
Baudeau;Nicolas;nicolas.baudeau@u-bordeaux.fr
Baudelaire;Charles;charles.baudelaire@u-bordeaux.fr
Baudement;Theophile;theophile.baudement@u-bordeaux.fr
Baudier;Charles;charles.baudier@u-bordeaux.fr
Baudot;François-Nicolas;françois-nicolas.baudot@u-bordeaux.fr
Baudouin;Charles;charles.baudouin@u-bordeaux.fr
Baudran;Achille;achille.baudran@u-bordeaux.fr
Baudrimont;Alexandre-edouard;alexandre-edouard.baudrimont@u-bordeaux.fr
Baudry;Frederic;frederic.baudry@u-bordeaux.fr
Bautru;Guillaume;guillaume.bautru@u-bordeaux.fr
Bax;Frederic;frederic.bax@u-bordeaux.fr
Bayard;Jean-François;jean-françois.bayard@u-bordeaux.fr
Bayrou;François;françois.bayrou@u-bordeaux.fr
Bazin;Antoine;antoine.bazin@u-bordeaux.fr
Beaubourg;Maurice;maurice.beaubourg@u-bordeaux.fr
Beauce;Jean-Adolphe;jean-adolphe.beauce@u-bordeaux.fr
Bourguignon d'Anville;Jean-Baptiste;jean-baptiste.bourguignon-d-anville@u-bordeaux.fr
Brugiere Barante;Prosper;prosper.brugiere-barante@u-bordeaux.fr
Brugiere de Barante;Claude-Ignace;claude-ignace.brugiere-de-barante@u-bordeaux.fr
Cabanes;Augustin;augustin.cabanes@u-bordeaux.fr
Cabanis;Pierre-Jean-Georges;pierre-jean-georges.cabanis@u-bordeaux.fr
Cabet;etienne;etienne.cabet@u-bordeaux.fr
Cadet de Gassicourt;Charles-Louis;charles-louis.cadet-de-gassicourt@u-bordeaux.fr
Cadol;edouard;edouard.cadol@u-bordeaux.fr
Cahen;Raymond;raymond.cahen@u-bordeaux.fr
Cahier;Charles;charles.cahier@u-bordeaux.fr
Cahu;Theodore;theodore.cahu@u-bordeaux.fr
Cahuet;Alberic;alberic.cahuet@u-bordeaux.fr
Caillot;Antoine;antoine.caillot@u-bordeaux.fr
Caix de Saint-Amour;Charles-Lavauzelle;charles-lavauzelle.caix-de-saint-amour@u-bordeaux.fr
Calbet;Antoine;antoine.calbet@u-bordeaux.fr
Calemard de La Fayette;Charles;charles.calemard-de-la-fayette@u-bordeaux.fr
Calepino;Ambroise;ambroise.calepino@u-bordeaux.fr
Calippe;Charles;charles.calippe@u-bordeaux.fr
Calloc'h;Jean-Pierre;jean-pierre.calloc-h@u-bordeaux.fr
Callot;Jacques;jacques.callot@u-bordeaux.fr
Calmettes;Fernand;fernand.calmettes@u-bordeaux.fr
Calmon;Antoine;antoine.calmon@u-bordeaux.fr
Cambry;Jacques;jacques.cambry@u-bordeaux.fr
Campanella;Tommaso;tommaso.campanella@u-bordeaux.fr
Campenon;Vincent;vincent.campenon@u-bordeaux.fr
Camus;Gaston;gaston.camus@u-bordeaux.fr
Camuset;Joseph-Nicolas;joseph-nicolas.camuset@u-bordeaux.fr
Canivet;Charles;charles.canivet@u-bordeaux.fr
Canonge;Frederic;frederic.canonge@u-bordeaux.fr
Cantacuzene;Charles-Adolphe;charles-adolphe.cantacuzene@u-bordeaux.fr
Cantemir;Dimitrie;dimitrie.cantemir@u-bordeaux.fr
Cantillon;Richard;richard.cantillon@u-bordeaux.fr
Capefigue;Baptiste;baptiste.capefigue@u-bordeaux.fr
Capelle;Pierre;pierre.capelle@u-bordeaux.fr
Capendu;Ernest;ernest.capendu@u-bordeaux.fr
Capitaine;Ulysse;ulysse.capitaine@u-bordeaux.fr
Cappeau;Placide;placide.cappeau@u-bordeaux.fr
Capus;Alfred;alfred.capus@u-bordeaux.fr
Caraguel;Joseph;joseph.caraguel@u-bordeaux.fr
Carco;Francis;francis.carco@u-bordeaux.fr
Carcopino;Jerôme;jerôme.carcopino@u-bordeaux.fr
Carducci;Giosue;giosue.carducci@u-bordeaux.fr
Carême;Maurice;maurice.carême@u-bordeaux.fr
Carlier;emilie;emilie.carlier@u-bordeaux.fr
Carlier;Theodore;theodore.carlier@u-bordeaux.fr
Carloix;Vincent;vincent.carloix@u-bordeaux.fr
Carlyle;Thomas;thomas.carlyle@u-bordeaux.fr
Carmille;Robert;robert.carmille@u-bordeaux.fr
Carmouche;Pierre;pierre.carmouche@u-bordeaux.fr
Carneau;etienne;etienne.carneau@u-bordeaux.fr
Carnegie;Andrew;andrew.carnegie@u-bordeaux.fr
Caro;Elme-Marie;elme-marie.caro@u-bordeaux.fr
Caro;Pauline;
Caron;Pierre;pierre.caron@u-bordeaux.fr
Carpentier;Nicolas-Joseph;nicolas-joseph.carpentier@u-bordeaux.fr
Carra de Vaux;Bernard;bernard.carra-de-vaux@u-bordeaux.fr
Carrau;Ludovic;ludovic.carrau@u-bordeaux.fr
Carraud;Gaston;gaston.carraud@u-bordeaux.fr
Carre;Albert;albert.carre@u-bordeaux.fr
Carriere;Eugene;eugene.carriere@u-bordeaux.fr
Cartier;Ernest;ernest.cartier@u-bordeaux.fr
Cartier;George-etienne;george-etienne.cartier@u-bordeaux.fr
Cartier;Jacques;jacques.cartier@u-bordeaux.fr
Casella;Georges;georges.casella@u-bordeaux.fr
Casgrain;Henri-Raymond;henri-raymond.casgrain@u-bordeaux.fr
Casimir-Perier;Auguste;auguste.casimir-perier@u-bordeaux.fr
Castagnary;Jules-Antoine;jules-antoine.castagnary@u-bordeaux.fr
Castel;Louis-Bertrand;louis-bertrand.castel@u-bordeaux.fr
Castelain;Maurice;maurice.castelain@u-bordeaux.fr
Castellan;Antoine-Laurent;antoine-laurent.castellan@u-bordeaux.fr
Castelli;Horace;horace.castelli@u-bordeaux.fr
Castellion;Sebastien;sebastien.castellion@u-bordeaux.fr
Castets;Ferdinand;ferdinand.castets@u-bordeaux.fr
Castle;Egerton;egerton.castle@u-bordeaux.fr
Cat;edouard;edouard.cat@u-bordeaux.fr
Catteau-Calleville;Jean-Pierre-Guillaume;jean-pierre-guillaume.catteau-calleville@u-bordeaux.fr
Caussy;Fernand;fernand.caussy@u-bordeaux.fr
Cavafy;Constantin;constantin.cavafy@u-bordeaux.fr
Cavaignac;Eugene;eugene.cavaignac@u-bordeaux.fr
Cavaignac;Godefroy;godefroy.cavaignac@u-bordeaux.fr
Cavendish;William;william.cavendish@u-bordeaux.fr
Cazals;Frederic-Auguste;frederic-auguste.cazals@u-bordeaux.fr
Cazaux;Joseph;joseph.cazaux@u-bordeaux.fr
Caze;Robert;robert.caze@u-bordeaux.fr
Cazotte;Jacques;jacques.cazotte@u-bordeaux.fr
Celarie;Henriette;henriette.celarie@u-bordeaux.fr
Celine;Louis-Ferdinand;louis-ferdinand.celine@u-bordeaux.fr
Celler;Ludovic;ludovic.celler@u-bordeaux.fr
Cellini;Benvenuto;benvenuto.cellini@u-bordeaux.fr
Cendrars;Blaise;blaise.cendrars@u-bordeaux.fr
Cerfberr;Anatole;anatole.cerfberr@u-bordeaux.fr
Cernesson;Joseph;joseph.cernesson@u-bordeaux.fr
Cestre;Charles;charles.cestre@u-bordeaux.fr
Ch.;Constantin;constantin.ch.@u-bordeaux.fr
Chabaneau;Camille;camille.chabaneau@u-bordeaux.fr
Chaboseau;Augustin;augustin.chaboseau@u-bordeaux.fr
Chabot;Adrien;adrien.chabot@u-bordeaux.fr
Chabrier;Emmanuel;emmanuel.chabrier@u-bordeaux.fr
Chailley-Bert;Joseph;joseph.chailley-bert@u-bordeaux.fr
Chaillot;Amedee;amedee.chaillot@u-bordeaux.fr
Chalandon;Georges;georges.chalandon@u-bordeaux.fr
Challamel;Augustin;augustin.challamel@u-bordeaux.fr
Challemel;Wilfrid;wilfrid.challemel@u-bordeaux.fr
Clifford Barney;Natalie;natalie.clifford-barney@u-bordeaux.fr
Da Costa;Gaston;gaston.da-costa@u-bordeaux.fr
da Ponte;Lorenzo;lorenzo.da-ponte@u-bordeaux.fr
d'Abbes de Cabrerolles;Guillaume;guillaume.d-abbes-de-cabrerolles@u-bordeaux.fr
Dabit;Eugene;eugene.dabit@u-bordeaux.fr
d'Adelsward-Fersen;Jacques;jacques.d-adelsward-fersen@u-bordeaux.fr
Daguerre;Louis;louis.daguerre@u-bordeaux.fr
d'Aguilers;Raymond;raymond.d-aguilers@u-bordeaux.fr
Daire;Eugene;eugene.daire@u-bordeaux.fr
Daireaux;emile;emile.daireaux@u-bordeaux.fr
d'Alaux;Gustave;gustave.d-alaux@u-bordeaux.fr
Dales;Alexis;alexis.dales@u-bordeaux.fr
Dales;Jean-Baptiste;jean-baptiste.dales@u-bordeaux.fr
d'Aligre;etienne;etienne.d-aligre@u-bordeaux.fr
d'Altouvitis;Marseille;marseille.d-altouvitis@u-bordeaux.fr
d'Anglemont;edouard;edouard.d-anglemont@u-bordeaux.fr
d'Aphrodise;Alexandre;alexandre.d-aphrodise@u-bordeaux.fr
de Baïf;Guillaume;guillaume.de-baïf@u-bordeaux.fr
de Baïf;Jean-Antoine;jean-antoine.de-baïf@u-bordeaux.fr
de Balbe;Prosper;prosper.de-balbe@u-bordeaux.fr
de Banne;Jacques;jacques.de-banne@u-bordeaux.fr
de Banville;Theodore;theodore.de-banville@u-bordeaux.fr
de Barghon Fort-Rion;François;françois.de-barghon-fort-rion@u-bordeaux.fr
de Barthelemy;edouard;edouard.de-barthelemy@u-bordeaux.fr
de Bassompierre;François;françois.de-bassompierre@u-bordeaux.fr
de Bastide;Jean-François;jean-françois.de-bastide@u-bordeaux.fr
de Bauclair;Paul-Louis;paul-louis.de-bauclair@u-bordeaux.fr
de Bausset;Louis-François;louis-françois.de-bausset@u-bordeaux.fr
de Bawr;Alexandrine-Sophie;alexandrine-sophie.de-bawr@u-bordeaux.fr
de Baye;Marie-Beatrice;marie-beatrice.de-baye@u-bordeaux.fr
de Beauchamp;Alphonse;alphonse.de-beauchamp@u-bordeaux.fr
de Cailly;Jacques;jacques.de-cailly@u-bordeaux.fr
de Calonne;Alphonse;alphonse.de-calonne@u-bordeaux.fr
de Candolle;Alphonse;alphonse.de-candolle@u-bordeaux.fr
de Carlowitz;Aloïse;aloïse.de-carlowitz@u-bordeaux.fr
de Carne;Louis-Marie;louis-marie.de-carne@u-bordeaux.fr
de Castellane;Boniface;boniface.de-castellane@u-bordeaux.fr
de Castellane;Pierre;pierre.de-castellane@u-bordeaux.fr
de Castelnau;Francis;francis.de-castelnau@u-bordeaux.fr
de Castelnau;Michel;michel.de-castelnau@u-bordeaux.fr
de Castro;Eugenio;eugenio.de-castro@u-bordeaux.fr
de Cazales;Edmond;edmond.de-cazales@u-bordeaux.fr
de Cazeneuve;Pierre;pierre.de-cazeneuve@u-bordeaux.fr
de Ceos;Bacchylide;bacchylide.de-ceos@u-bordeaux.fr
de Cervantes Saavedra;Miguel;miguel.de-cervantes-saavedra@u-bordeaux.fr
de Clazomenes;Anaxagore;anaxagore.de-clazomenes@u-bordeaux.fr
de Cyrene;Callimaque;callimaque.de-cyrene@u-bordeaux.fr
de Damas;Apollodore;apollodore.de-damas@u-bordeaux.fr
de Medicis;Catherine;catherine.de-medicis@u-bordeaux.fr
de Parthenay;Catherine;catherine.de-parthenay@u-bordeaux.fr
de Rhodes;Apollonios;apollonios.de-rhodes@u-bordeaux.fr
de Sienne;Catherine;catherine.de-sienne@u-bordeaux.fr
française;Academie;academie.française@u-bordeaux.fr
François Claude d'Albon;Camille;camille.françois-claude-d-albon@u-bordeaux.fr
Giacomo Casanova;Giovanni;giovanni.giacomo-casanova@u-bordeaux.fr
Guez de Balzac;Jean-Louis;jean-louis.guez-de-balzac@u-bordeaux.fr
Joseph de Barruel-Beauvert;Antoine;antoine.joseph-de-barruel-beauvert@u-bordeaux.fr
Le Coigneux de Bachaumont;François;françois.le-coigneux-de-bachaumont@u-bordeaux.fr
Polycarpe Batbie;Anselme;anselme.polycarpe-batbie@u-bordeaux.fr
Pyrame de Candolle;Augustin;augustin.pyrame-de-candolle@u-bordeaux.fr
Saccas;Ammonios;ammonios.saccas@u-bordeaux.fr
Stewart Chamberlain;Houston;houston.stewart-chamberlain@u-bordeaux.fr
