nom-entr;nom-resp;prenom-resp;email-resp;nom-etd;prenom-etd;titre;annee-univ;debut;fin;surnom
AERES;Daufresne de La Chevalerie;Auguste;auguste@aeres.com;Adam;Charles;Mise en pratique des connaissances acquises au cours de la formation.Element indispensable ö l'obtention du diplªme;2010-2011;04/04/2011;10/06/2011;OGu
AFDOC;Dauphin;Fernand;fernand@afdoc.com;Aignan;etienne;Conception et realisation de sites Internet;2010-2011;04/04/2011;10/06/2011;MH
AFSEA;De Coster;Charles;charles@afsea.com;Allingham;William;Developpement d'un logiciel d'annotation de defauts sur les documents anciens.;2010-2011;04/04/2011;10/06/2011;JPJ
AFSSA;Alphonse Delangle;Claude;claude@afssa.com;Appia;Adolphe;Ce stage s'inscrit dans le cadre de la realisation (actuellement en cours) d'une interface graphique pour un logiciel de calcul numerique (Aquilon);2010-2011;04/04/2011;10/06/2011;CJ
AFSSE;Declaustre;Andre;andre@afsse.com;Arago;etienne;Adaptation d'un logiciel de communication entre une machine outils et un PC sous Visual studio C++.Evolution d'un serveur web;2010-2011;04/04/2011;10/06/2011;NJ
AFTOC;Decombe;Lucien;lucien@aftoc.com;Arago;Jacques;AmÈlioration et gestion d'une plateforme de traitement d'images;2010-2011;04/04/2011;10/06/2011;OL
AGEPS;Decourcelle;Pierre;pierre@ageps.com;Bacon;Francis;L'objectif de ce projet est de creer un environnement 3D dans lequel agit l'utilisateur pour simuler la manipulation d'engin de chantier.;2010-2011;04/04/2011;10/06/2011;SMa
AGGIR;Dede;Emmanuel;emmanuel@aggir.com;Messi;Lionel;Etude de besoins d'un module de SGSE : Système de Gestion des Services d'Enseignement;2010-2011;04/04/2011;10/06/2011;BM
ANVAR;Denisot;Nicolas;nicolas@anvar.com;Capendu;Ernest;DÈveloppement d'une interface de contrÙle de robot sur tablette tactile;2010-2011;04/04/2011;10/06/2011;SMi
APAJH;de Courcillon de Dangeau;Philippe;philippe@apajh.com;Capus;Alfred;Creer un module de gestion des retours client par scannage de codes ö barre au sein d'un progiciel de gestion.;2010-2011;04/04/2011;10/06/2011;AP
APAVE;Jacques Danton;Georges;georges@apave.com;Carlier;emilie;Optimisation du site internet de l'entreprise en vue d'une meilleure gestion du domaine d'activite.;2010-2011;04/04/2011;10/06/2011;PR
AP-HM;Dareste;Rodolphe;rodolphe@ap-hm.com;Carre;Albert;Developpement PHP/MySQL d'un jeu en ligne base sur des quiz.;2010-2011;04/04/2011;10/06/2011;KR
APPRI;Dareste;Pierre;pierre@appri.com;Carriere;Eugene;Contribuer ‡ la crÈation et ‡ l'Èvolution de fonctionnalitÈs mÈtier de l'intranet de l'entreprise.;2010-2011;04/04/2011;10/06/2011;FR
APSAD;Dargent;Yan;yan@apsad.com;Cartier;Ernest;Integration dans une equipe de developpeurs en charge d'un projet de gestion.;2010-2011;04/04/2011;10/06/2011;ES
ARFIE;Darrieulat;Louis;louis@arfie.com;Cazaux;Joseph;Informatisation de donnÈes internes - Analyse des activitÈs existantes - Propositions d'informatisation;2010-2011;04/04/2011;10/06/2011;CU
ARLIN;Auguste Daubree;Gabriel;gabriel@arlin.com;Chailley-Bert;Joseph;Developpement d'une applicaion CMS Magento (opensource) avec modules specifiques pour       e-commerce dematerialise.;2010-2011;04/04/2011;10/06/2011;EW
ARRCO;Daudet;Alphonse;alphonse@arrco.com;Chaillot;Amedee;Creation de sites et referencement;2010-2011;04/04/2011;10/06/2011;MBa
ARRES;Daudet;Julia;julia@arres.com;Abeille;Gaspard;Design et integration Web, developpement et referencement.;2010-2011;04/04/2011;10/06/2011;MBi
ASEES;Daudet;Leon;leon@asees.com;Adam;Adolphe;DÈveloppement web. Le stagiaire participera au dÈveloppement du produit principal de la sociÈtÈ.;2010-2011;04/04/2011;10/06/2011;RB
ASMAD;Daumas;Eugene;eugene@asmad.com;Aderer;Adolphe;Conception d'un espace extranet dedie aux clients et partenaires de l'entreprise et creation d'outils de gestion d'une base de donnees sous ACCESS.;2010-2011;04/04/2011;10/06/2011;BC
ASPCC;Dauphin;Leopold;leopold@aspcc.com;Aimard;Gustave;Developpement et programmationScripts et Bases de Donnees;2010-2011;04/04/2011;10/06/2011;AC
ASSAD;Davesies de Pontes;Lucien;lucien@assad.com;Albalat;Antoine;Participation au dÈveloppement web d'une bibliothËque numÈrique de 3Ë gÈnÈration;2010-2011;04/04/2011;10/06/2011;LC
AT-MP;Pierre Deforis;Jean;jean@at-mp.com;Albert;Maurice;Developpements et adaptations sur un extranet pour la gestion qualitee des AOC fromagères;2010-2011;04/04/2010;10/06/2011;SD
BAPSA;Harding Davis;Richard;richard@bapsa.com;Alhoy;Maurice;Developpement en VB.net d'une application Extranetsous SQL Server;2010-2011;04/04/2011;10/06/2011;ID
INCA;De Coussemaker;Edmond;edmond@inca.com;Allut;Antoine;Le projet pedagogique portera sur le developpement et l'adaptation sur un extranet pour la gestion qualite des AOC Fromagères.;2010-2011;04/04/2011;10/06/2011;PF
INED;De Meyer;Maurits;maurits@ined.com;Ancey;Georges;"Refonte du logiciel ""bourse aux livres"" de l'Apel la Sauque";2010-2011;04/04/2011;10/06/2011;SFo
INES;Deburau;Gaspard;gaspard@ines.com;Anquetil-Duperron;Abraham;TÈlÈdistribution des licences. Le projet consiste ‡ remplacer les clÈs cryptÈes sur site client par une autorisation mensuelle dÈlivrÈe par notre site.;2010-2011;04/04/2011;10/06/2011;OGa
INJA;Delaporte;Mathilde;mathilde@inja.com;Babinet;Jacques;Valider les acquis de l'etudiant en JAVA/UML/MERISE/SQL, s'integrer dans un developpement en cours, s'approprier les outils existants;2010-2011;04/04/2011;10/06/2011;RG
INJS;Dedieu;Joseph;joseph@injs.com;Bailly;Antoine;Connaitre la structure organisationnelle du service de fidelite;2010-2011;04/04/2011;10/06/2011;OGu
MSAP;Damad;Marianne;marianne@msap.com;Camus;Gaston;DÈveloppement d'un CMS (WEB);2010-2011;04/04/2011;10/06/2011;MH
MSCM;Denise;Louis;louis@mscm.com;Capelle;Pierre;Le stagiaire assurera la realisation des pages web ainsi que l'integration des contenus des sites.;2010-2011;04/04/2011;10/06/2011;JPJ
MSPS;Pierre Dandelin;Germinal;germinal@msps.com;Capitaine;Ulysse;developpement geolocalisation des actions commerciales menees par des techniciens dans le domaine cooperative agricole;2010-2011;04/04/2011;10/06/2011;CJ
MSTP;Danhauser;Adolphe;adolphe@mstp.com;Caraguel;Joseph;Montrer sa capacitÈ ‡ s'intÈgrer dans une Èquipe de 8 programmeurs expÈrimentÈs. DÈvelopper une mÈthode de travail efficace.;2010-2011;04/04/2011;10/06/2011;NJ
MT2A;D'Annunzio;Gabriele;gabriele@mt2a.com;Carcopino;JerÙme;Creation d'un site web avec contenu video.;2010-2011;04/04/2011;10/06/2011;OL
NABM;Daoust;Julien;julien@nabm.com;de Carlowitz;AloÔse;Creation d'un site internet avec differents niveaux d'utilisateurs et rubriques. Pages dynamiques;2010-2011;04/04/2011;10/06/2011;SMa
NGAP;Victor Daremberg;Charles;charles@ngap.com;Carraud;Gaston;Projet de modernisation des moyens de communication de l'evêche de Perigueux et Sarlat;2010-2011;04/04/2011;10/06/2011;BM
NICE;Darcy;Jean;jean@nice.com;Caron;Pierre;Travail en equipe - Travail sur des technologies innovantes - Programmation orientee objet - Placer la performance au centre du developpement;2010-2011;04/04/2011;10/06/2011;SMi
NIPP;Darimon;Alfred;alfred@nipp.com;Castelli;Horace;Enrichir les librairies de codes ÇmarqueurÈ de AT Internet.;2010-2011;04/04/2011;10/06/2011;AP
NVPO;Darwin;Charles;charles@nvpo.com;Caze;Robert;L'objectif du stage est de developper un logiciel de gestion interne.La finalite est de rendre un livrable (logiciel) ‡ la fin du stage;2010-2011;04/04/2011;10/06/2011;PR
OCAH;Darzens;Rodolphe;rodolphe@ocah.com;de Cazeneuve;Pierre;Aborder les technologies avancees de developpement d'applications web cªte serveur en PHP et en particulier le framework Zend.;2010-2011;04/04/2011;10/06/2011;KR
OCHS;DarÌo;Ruben;ruben@ochs.com;Cendrars;Blaise;DÈveloppement (sql, oracle forms, oracle framework, java, J2EE, Webservices)/ paramÈtrage, tests unitaires. …largissement : administration, packaging.;2010-2011;04/04/2011;10/06/2011;FR
OCTA;Dastre;Albert;albert@octa.com;Cernesson;Joseph;En fin de stage, vous aurez developpe les competences techniques requises dans le cadre d'un projet en contexte d'application en production.;2010-2011;04/04/2011;10/06/2011;ES
ODAC;Jean-Marie Daubenton;Louis;louis@odac.com;de Cervantes Saavedra;Miguel;Immersion operationnelle dans un projet d'integration du centre de service SAP d'Atos Origin Integration, region Aquitaine.;2010-2011;04/04/2011;10/06/2011;CU
ODAS;Dauguet;Marie;marie@odas.com;d'Adelsward-Fersen;Jacques;Immersion operationnelle dans un projet d'integration du service NTIC/J2EE. Il s'agit du projet CDM pour le compte de La Banque Postale.;2010-2011;04/04/2011;10/06/2011;EW
OETH;Daumal;Rene;rene@oeth.com;Ader;Guilhem;J'apprendrai les methodes de travail dans un environnement CMMi niveau 3. En fin de stage,j'aurai developpe les competences dans le cadre d'un projet.;2010-2011;04/04/2011;10/06/2011;MBa
OFDT;Daunou;Pierre-Claude-FranÁois;pierre-claude-franÁois@ofdt.com;d'Aguilers;Raymond;Apprentissage des methodes de travail operationnelles dans un environnement structure et certifie CMMI niveau3.;2010-2011;04/04/2011;10/06/2011;MBi
OMCL;Dauze;Pierre;pierre@omcl.com;d'Alaux;Gustave;Apprentissage des methodes de travail operationnelles dans un environnement structure et certifie CMMi niveau 3.;2010-2011;04/04/2011;10/06/2011;RB
ONCD;David-Neel;Alexandra;alexandra@oncd.com;FranÁois Claude d'Albon;Camille;Sous le tutorat du chef de projet,faire l'apprentissage des methodes de travail operationnelles dans un environnement structure certifie CMMi Niveau 3;2010-2011;04/04/2011;10/06/2011;BC
ONED;Degouy;Amiral;amiral@oned.com;Alcoforado;Mariana;Vous dÈvelopperez les compÈtences techniques requises dans le cadre d'un projet en contexte d'application en production.;2010-2011;04/04/2011;10/06/2011;AC
ONRS;Davin;Albert;albert@onrs.com;Aleramo;Sibilla;En fin de stage, vous aurez developpe les competences techniques requises dans le cadre d'un projet en contexte d'application en production.;2010-2011;04/04/2011;10/06/2011;LC
OPAC;Davin;Emmanuel;emmanuel@opac.com;Alfred Alexandre;Charles;Immersion opÈrationnelle dans un projet d'intÈgration de la Local Factory d'Atos, projet J2EE Retraite CDS ICDC;2010-2011;04/04/2011;10/06/2011;SD
OPAH;Nicolas Davout;Louis;louis@opah.com;d'Aligre;etienne;Apprentissage des mÈthodes de travail dans un environnement certifiÈ CMMi niveau3. DÈveloppement des compÈtences techniques dans le cadre d'un projet.;2010-2011;04/04/2011;10/06/2011;ID
OPCT;Davray;Raoul;raoul@opct.com;Allais;Gustave;Conception, spÈcifications  gÈnÈrales & dÈtaillÈes, dÈveloppement / paramÈtrage, tests intÈgration, recette.;2010-2011;04/04/2011;10/06/2011;PF
OPRI;Davray;Henry-David;henry-david@opri.com;Allaire;etienne;Apprendre les methodes de travail operationnelles dans un environnement certifie CMMi3.Developper les competences techniques requises en production.;2010-2011;04/04/2011;10/06/2011;SFo
OQAI;Davy du Perron;Jacques;jacques@oqai.com;Allem;Maurice;Travail sur le projet GOOMEO.;2010-2011;04/04/2011;10/06/2011;OGa
DDDX;Daxhelet;Arthur;arthur@dddx.com;Alletz;edouard;CrÈation et modification de modules JOOMLA en vue d'une implantation de  passerelles avec diffÈrents logiciels immobliers;2010-2011;04/04/2011;10/06/2011;RG
ORIG;Delaborde;Henri;henri@orig.com;Amelot de la Houssaye;Nicolas;Developpement et amelioration d'un outil d'exploitation clinique d'un modèle 3D personnalise de la colonne vertebrale et de la surface du dos;;04/04/2011;10/06/2011;OGu
ORPI;De la Roche;Mazo;mazo@orpi.com;Amoreau;Maurice;Valider les acquis en developpement par des experiences sur des problematiques clients et internes;2010-2011;04/04/2011;10/06/2011;MH
OSCE;Guichard Deageant;Claude;claude@osce.com;Andler;Charles;Assistance dans le service informatique afin de developper des modules pour des sites web et apprendre de nouveaux langages.;2010-2011;04/04/2011;10/06/2011;JPJ
OTAN;Delahaye;Ernest;ernest@otan.com;Andre;Auguste;Comptage de foule par l'activite bluetooth.;2010-2011;04/04/2011;10/06/2011;CJ
PACA;Debeney;Marie-Eugene;marie-eugene@paca.com;Angellier;Auguste;Mise en place base de donnÈes DOLIBARRE+crÈation de modules selon un cahier des charges dÈfini.;2010-2011;04/04/2011;10/06/2011;NJ
PACT;Delaire;Alexis;alexis@pact.com;d'Anglemont;edouard;Developpement d'un logiciel embarque sous uclinux;2010-2011;04/04/2011;10/06/2011;OL
PAIO;Delamain;Germaine;germaine@paio.com;Anicet-Bourgeois;Auguste;Cadre du projet ANR VIRAGE plateforme de recherche sur les nouvelles interfaces de contr™le pour la creation artistique et les industries culturelles.;2010-2011;04/04/2011;10/06/2011;SMa
PAIR;Delamain;Anne;anne@pair.com;Anot de Maizieres;Cyprien;A definir;2010-2011;04/04/2011;10/06/2011;BM
PAJE;Debussy;Sophie;sophie@paje.com;Antignac;Antoine;Apprentissage du langage PHP et des specifites de la version 5.3;2010-2011;04/04/2011;10/06/2011;SMi
PARE;Decaisne;Luce;luce@pare.com;Anwar;Chairil;Le stagiaire sera confronte aux problematiques du test unitaire, pierre angulaire des methodes de developpement moderne.;2010-2011;04/04/2011;10/06/2011;AP
PARM;Decembre;Annie;annie@parm.com;Appuhn;Charles;Developpement des modules specifiques lies ‡ notre propre outil de gestion des contenus. Integration de ces modules.;2010-2011;04/04/2011;10/06/2011;PR
PASS;Delarue-Mardrus;Lucie;lucie@pass.com;Badin;Adolphe;Passage de la telephonie analogique ö la telephonie sur le reseau IP;2010-2011;04/04/2011;10/06/2011;KR
PCAD;Del‚tre;Louis;louis@pcad.com;Bailly;Anatole;Developpement sous WINDEV;2010-2011;04/04/2011;10/06/2011;FR
PCAP;Defauconpret;Marie;marie@pcap.com;Bailly;Sylvain;Maintenance de logiciels et de dÈveloppement d'Èvolutions majeures pour un client;2010-2011;04/04/2011;10/06/2011;ES
ACBUS;De Ligt;Barthelemy;barthelemy@acbus.com;Barnfield;Richard;"Construction d'une solution Web au sein d'un centre de service, dans le cadre d'un projet ""Offshore"" (developpement en Inde).";2011-2012;02/04/2012;15/06/2012;CU
ADSEA;Delvaille;Camille;camille@adsea.com;Cat;edouard;Developpement et deploiement d'une application J2EE.;2011-2012;02/04/2012;15/06/2012;EW
AFSEA;De Coster;Charles;charles@afsea.com;Bardoux;Jacques;Creation et mise en place d'une application de gestion de suivi de collaborateurs.Creation d'une veritable application Web autonome en GWT;2011-2012;02/04/2012;15/06/2012;MBa
AFSSA;Alphonse Delangle;Claude;claude@afssa.com;Batault;Georges;Creer une application web autonome via GWT;2011-2012;02/04/2012;15/06/2012;MBi
AFSSE;Declaustre;Andre;andre@afsse.com;Batteux;Charles;DÈcouvrir le mÈtier d'ingÈnieur en technologie de l'information, le travail en Èquipe et le cycle de vie des projets informatiques.;2011-2012;02/04/2012;15/06/2012;RB
AFTOC;Decombe;Lucien;lucien@aftoc.com;Baudeau;Nicolas;Participation a un projet dans un environnement J2EE et contribution au developpement des evolutions et des nouvelles fonctionnalites de l'application.;2011-2012;02/04/2012;15/06/2012;BC
AGEPS;Delard;Eugene;eugene@ageps.com;Baudier;Charles;Participation ö la vie d'un projet dans un environnement java JEE et contribution au developpement des evolutions et des nouvelles fonctionnalites;2011-2012;02/04/2012;15/06/2012;AC
AGGIR;Dede;Emmanuel;emmanuel@aggir.com;Baudran;Achille;Participer ‡ la refonte d'une application  Web 2.0  en etroite collaboration avec les equipes de Cartegie direct;2011-2012;02/04/2012;15/06/2012;LC
AGIRC;du Deffand;Marie;marie@agirc.com;Bainville;Jacques;Creation d'un site web marchand;2011-2012;02/04/2012;15/06/2012;SD
AGIRC;Delavigne;Germain;germain@agirc.com;Cadol;edouard;DÈveloppement d'un prÈ-processeur pour l'entrÈe des donnÈes du programme CATSYS;2011-2012;02/04/2012;15/06/2012;ID
AIDCO;Delboulle;Achille;achille@aidco.com;Caillot;Antoine;Realisation d'un site web de consultation des resultats d'experiences realisees dans le Laser Megajoule.;2011-2012;02/04/2012;15/06/2012;PF
AIDEA;Deledda;Grazia;grazia@aidea.com;Cambry;Jacques;DÈveloppement d'une application de pilotage de camÈras;2011-2012;02/04/2012;15/06/2012;SFo
ALOIS;Delpit;Albert;albert@alois.com;Casella;Georges;Objet : creation de rapports de base de donnees. But : creation de rapports elabores ö partir d'une base de donnees d'evènements de l'installation LIL;2012-2013;02/04/2012;15/06/2012;OGa
ASSAD;Davesies de Pontes;Lucien;lucien@assad.com;de Balbe;Prosper;Conduite de projets d'etude et de conception de solutions permettant d'optimiser l'outil de gestion interne et l'administration des systèmes logiciels;2011-2012;02/04/2012;15/06/2012;RG
AT-MP;Pierre Deforis;Jean;jean@at-mp.com;Baldensperger;Fernand;Le but de ce stage est d'amÈliorer un site web prÈsentant une gamme de produits en relation avec la sÈcuritÈ.;2011-2012;02/04/2012;15/06/2012;OGu
BAPSA;Harding Davis;Richard;richard@bapsa.com;Brugiere Barante;Prosper;Le stagiaire aura en charge le developpement d'un outil strategique pour la CRCIA qui permet la generation automatique de diagnostics d'entreprises.;2011-2012;02/04/2012;15/06/2012;MH
INCA;De Coussemaker;Edmond;edmond@inca.com;Barman;Maurice;CrÈation d'un template web qui sera la base de l'intranet de l'entreprise. CrÈation de un ou plusieurs modules de gestion administrative;2011-2012;02/04/2012;15/06/2012;JPJ
INED;Delacroix;Henri;henri@ined.com;Barral;Georges;Conception et mise en place d'outils de developpement et de deploiement de logiciels;2011-2012;02/04/2012;15/06/2012;CJ
INES;Deburau;Gaspard;gaspard@ines.com;Barzellotti;Giacomo;Developpement d'un module DRUPAL d'import de donnees.;2011-2012;02/04/2012;15/06/2012;NJ
INJA;Delaporte;Mathilde;mathilde@inja.com;Baudelaire;Charles;AmÈlioration d'une base de donnÈes.  ExpÈrimentation, rÈalisation de formulaires de saisie et d'Ècrans de consultations sur les technologies Web;2011-2012;02/04/2012;15/06/2012;OL
INJS;Delatour;Albert;albert@injs.com;Bazin;Antoine;Ameliorer le site intranet du laboratoire;2011-2012;02/04/2012;15/06/2012;SMa
INPH;Deffoux;Leon;leon@inph.com;Baissac;Charles;Traitement automatique de fichiers de donnees issues d'experiences biologiques;2011-2012;02/04/2012;15/06/2012;BM
INPH;Deffoux;Leon;leon@inph.com;Cahen;Raymond;Developper un module pour une solution SAAS pour permettre de lie l'API ‡ une solution d'email.;2011-2012;02/04/2012;15/06/2012;SMi
INRA;Defoe;Daniel;daniel@inra.com;Baju;Anatole;Creation et developpement d'une base de donnees.;2011-2012;02/04/2012;15/06/2012;AP
INRA;Delbúuf;Regis;regis@inra.com;Cahier;Charles;Gestion de base de donnees MySQL;2011-2012;02/04/2012;15/06/2012;PR
INRS;Delbousquet;Emmanuel;emmanuel@inrs.com;de Cailly;Jacques;Participation ‡ l'elaboration d'un cahier des charges et developpement de la solution:Suivi d'une demande d'evolution du PLU au sein du CG.;2011-2012;02/04/2012;15/06/2012;KR
INTI;Delbreil;Charles;charles@inti.com;Calbet;Antoine;Securisation. Mise en place de l'authentification par serveur radius sur des equipements reseaux.;2011-2012;02/04/2012;15/06/2012;FR
InVS;Delcourt;Joseph;joseph@invs.com;Calemard de La Fayette;Charles;Realiser une application web de gestion du Portefeuille idees/projets DSI.;2011-2012;02/04/2012;15/06/2012;ES
IOTF;Delecourt;Jules;jules@iotf.com;Calmon;Antoine;Developpement d'un système de gestion des demandes d'intervention informatise avec gestion et analyse des donnees pour pilotage du service;2011-2012;02/04/2012;15/06/2012;CU
IPAQ;Delgres;Louis;louis@ipaq.com;Cantillon;Richard;La conduite de projet.Analyse, conception,developpement,integration.;2011-2012;02/04/2012;15/06/2012;EW
IPES;Delisle;Leopold;leopold@ipes.com;Carco;Francis;Gestion des fonds de perequation;2011-2012;02/04/2012;15/06/2012;MBa
IPr;Deleyre;Alexandre;alexandre@ipr.com;Campenon;Vincent;Adaptation et integration d'une solution open-source de recherche et de consultation dans l'annuaire du personnel de la Region;2011-2012;02/04/2012;15/06/2012;MBi
IPSN;Delmas;Louis;louis@ipsn.com;Carneau;etienne;Mise en oeuvre de la brique technique parapheur Èlectronique;2011-2012;02/04/2012;15/06/2012;RB
IRCT;Delom de Mezerac;Joseph;joseph@irct.com;Caro;Pauline;Adaptation d'applications internes ‡ l'authentification unique ‡ partir d'un systËme CAS.;2011-2012;02/04/2012;15/06/2012;BC
IrDA;Delord;Taxile;taxile@irda.com;Carra de Vaux;Bernard;Developpement et maintenance de nouvelles fonctionnalites sur un système d'information existant, en accord avec les besoins des utilisateurs;2011-2012;02/04/2012;15/06/2012;AC
IRDQ;Delorme;Hugues;hugues@irdq.com;Cartier;Jacques;Automatisation de l'installation et de la gestion de serveurs sous GNU/linux Ubuntu. Developpement et mise en ligne d'un site web php/Python;2011-2012;02/04/2012;15/06/2012;LC
IRMN;Delpit;edouard;edouard@irmn.com;Casimir-Perier;Auguste;Stage destinÈ ‡ documenter le code d'un site en langage python afin  de se l'approprier et d'Ítre capable de programmer sur le site C PRO DIRECT;2011-2012;02/04/2012;15/06/2012;SD
IRSN;Delrieu;emile;emile@irsn.com;Castelain;Maurice;Realisation d'un logiciel de gestion des demandes de documentation avec le framework PHP syfony;2011-2012;02/04/2012;15/06/2012;ID
IRTS;Delthil;Camille;camille@irts.com;de Castelnau;Francis;Ce projet doit ‡ terme automatiser au maximum  le processus de fabrication et de validation du pipeline de production.;2011-2012;02/04/2012;15/06/2012;PF
IRTT;Deltour;Felix;felix@irtt.com;Castle;Egerton;Developpement/Integration de sites internet professionnels sur une base Wordpress;2011-2012;02/04/2012;15/06/2012;SFo
ONCD;David-Neel;Alexandra;alexandra@oncd.com;Bally;Charles;Analyse, conception, developpement et test d'une interface graphique et des actions dans un jeu de plateau sur XBOX 36;2011-2012;02/04/2012;15/06/2012;OGa
ONED;Degouy;Amiral;amiral@oned.com;Banier;Antoine;Poursuivre le developpement de la base ACCESS servant au recueil des besoins en formation;2011-2012;02/04/2012;15/06/2013;RG
ONRS;Davin;Albert;albert@onrs.com;de Banne;Jacques;Developpement d'une application sous Access 2003 pour la gestion des donnees d'administration et d'exploitation du système d'information;2011-2012;02/04/2012;15/06/2012;OGu
OPAC;Davin;Emmanuel;emmanuel@opac.com;Bapst;Germain;Travail en equipe de developpement(6 personnes) sur un projet de realisation d'une comptabilite FREE FULL WEB;2011-2012;02/04/2012;15/06/2012;MH
OPAH;Deharme;Ernest;ernest@opah.com;Barbara;Charles;Conception et dÈveloppement de site internet;2011-2012;02/04/2012;15/06/2012;JPJ
OPCT;Davray;Raoul;raoul@opct.com;Barbier;Auguste;developpement d'un site internet utilisant la frameworks zend, ou d'un site d'annonce en php, xhtml et css.;2011-2012;02/04/2012;15/06/2012;CJ
OPRI;Deherain;Henri;henri@opri.com;Barbeu du Bourg;Jacques;Developpement d'application intranet en Visual Basic ASP;2011-2012;02/04/2012;15/06/2012;NJ
OQAI;Dejacque;Joseph;joseph@oqai.com;Barbon;Nicolas;Utiliser les competences apprises ‡ l'Universite au sein d'un entreprise;2011-2012;02/04/2012;15/06/2012;OL
OQOS;Daxhelet;Arthur;arthur@oqos.com;Barchou de Penhoen;Auguste;Modification de la plateforme multimedia en ligne;2011-2012;02/04/2012;15/06/2012;SMa
ORIG;Delaborde;Henri;henri@orig.com;Barnave;Antoine;Developpement de notre monde virtuel sur Second Life et creation d'une plateforme dediee aux Arts et Spectacles;2011-2012;02/04/2012;15/06/2012;BM
ORPI;Delacour;Alfred;alfred@orpi.com;Clifford Barney;Natalie;Creation et developpement d'un monde virtuel 3D, un monde de loisirs, de divertissement, de spectacles sur le site Internet SecondLife.;2011-2012;02/04/2012;15/06/2012;SMi
OSCE;Delage;Yves;yves@osce.com;Barres;Maurice;RÈalisation d'un outil informatique en langage objet .;2011-2012;02/04/2012;15/06/2012;AP
OTAN;Delahaye;Ernest;ernest@otan.com;Barrot;Adolphe;L'objectif est d'integrer Monsieur LENIER ö notre equipe de developpement informatique. La finalite etant d'etoffer cette equipe ö terme. Les activites confiees seront de participer ö l'entretien de nos plateformes web, ainsi que celles des clients et de participer aux activites de developpement de nos système API et cartographie des reseaux.;2011-2012;02/04/2012;15/06/2012;PR
PACA;Debeney;Marie-Eugene;marie-eugene@paca.com;Joseph de Barruel-Beauvert;Antoine;"Realisation du site Internet de la nouvelle enseigne du groupe ""ASC""Conception/Programmation de Music Art School";2011-2012;02/04/2012;15/06/2012;KR
PACT;Delaire;Alexis;alexis@pact.com;Barth;Auguste;Developpement WEB du portail DOMICALIS.;2011-2012;02/04/2012;15/06/2012;FR
PAIO;Delamain;Germaine;germaine@paio.com;Barthelemy;Auguste;Suivi et developpement d'une application locale;2011-2012;02/04/2012;15/06/2012;ES
PAIR;Delamain;Anne;anne@pair.com;de Barthelemy;edouard;Creation d'une base de donnees pour la gestion des donnees obtenues lors des mesures pour objet de vol;2011-2012;02/04/2012;15/06/2012;CU
PAJE;Debussy;Sophie;sophie@paje.com;Basler;Adolphe;- Evolution d'une application Web developpee en 2009-2010 sur un modèle MVC.- Generation Registre de Contrªle Individuel electronique (maquettage).;2011-2012;02/04/2012;15/06/2012;EW
